subject,mean,std,variance,max,min,range,energy
S9,0.0041425327084434905,6.59830960426823e-06,4.3537689633778356e-11,0.00415364701368884,0.00412497269191222,2.8674321776619473e-05,0.005491398649028414
S9,0.00414206815224659,1.70052635168401e-05,2.8917898727717297e-10,0.004191564045701494,0.004078160864453089,0.00011340318124840494,0.005490245682189682
S9,0.0041421855719977274,5.61303752537506e-06,3.150619026126858e-11,0.004153378442831063,0.004122051553834667,3.132688899639552e-05,0.005490474502098048
S9,0.004142268118618028,1.4737232228279678e-05,2.171860137502452e-10,0.004185231242365695,0.004092254648679268,9.29765936864271e-05,0.005490752752810586
S9,0.0041422950694480366,3.6545396113450244e-05,1.3355659770889842e-09,0.0042634750476851805,0.004056198756476124,0.00020727629120905616,0.005491182082672194
S9,0.004142098528940238,2.256309011207922e-05,5.090930354058071e-10,0.004216108139528638,0.0040929506015698,0.00012315753795883854,0.005490396581274976
S9,0.004142491283952168,6.0948915788189144e-05,3.7147703357557717e-09,0.004379360404646049,0.0039001163632834384,0.0004792440413626106,0.005492463618545741
S9,0.00414219308504476,1.5403981816896096e-05,2.3728265581526556e-10,0.0041941731240578775,0.004093184977585984,0.00010098814647189341,0.0054905602676635
S9,0.0041423818242486195,2.5437417419799342e-05,6.47062204989111e-10,0.004205412581985118,0.004062091597579234,0.0001433209844058838,0.0054911917568225
S9,0.004143485652985072,7.493107222391828e-05,5.614665584626058e-09,0.004431621713761766,0.0038924828029344074,0.0005391389108273586,0.005495708167064883
S9,0.004141427294354486,3.232223528535939e-05,1.0447268938421317e-09,0.004209020572062192,0.004066312338876036,0.00014270823318615622,0.00548878872362181
S9,0.004142090621968292,2.0384142799653243e-05,4.1551327767665514e-10,0.004188921772295492,0.0040802909747946585,0.00010863079750083379,0.0054903456748401115
S9,0.004142622214503023,1.2465174332047038e-05,1.553805711283243e-10,0.004188747328726801,0.0041180916018851085,7.065572684169207e-05,0.0054916717416528225
S9,0.004141244966281114,1.919683384190272e-05,3.6851842955362147e-10,0.004198647669716893,0.004092130875614464,0.00010651679410242886,0.005488089084537029
S9,0.004142831823852337,1.1490715040739145e-05,1.320365321474688e-10,0.004182439867065565,0.004103166478161154,7.927338890441078e-05,0.005492220018321864
S9,0.004142581681769008,2.181741317719753e-05,4.759995177445523e-10,0.00419987313861559,0.00408765489788531,0.0001122182407302802,0.005491666876686684
S9,0.0041424909266164385,1.1344089806098164e-05,1.286883735288203e-10,0.004170701522315078,0.004103598326235103,6.710319607997495e-05,0.005491315124951375
S9,0.004142111079535436,1.3805555447727054e-05,1.9059336122026616e-10,0.004175209652471532,0.004104492444739867,7.071720773166486e-05,0.005490327932342861
S9,0.004142069629371871,1.0838990771302932e-05,1.1748372094039012e-10,0.004181829168285247,0.004098494115021368,8.33350532638789e-05,0.005490194655451448
S9,0.004141971167751722,2.1368565146954645e-05,4.5661557643964474e-10,0.004219191098465911,0.004092040642791863,0.00012715045567404833,0.0054900421664201594
S9,0.004142445971628264,1.7995193387435575e-05,3.2382698505120503e-10,0.004182503123995545,0.0041077501530216755,7.475297097386986e-05,0.005491258385550172
S9,0.004142567981894942,1.1209799242896821e-05,1.2565959906605013e-10,0.004171861295551588,0.004110054681401358,6.180661415022999e-05,0.005491518446150461
S9,0.0041410256972058985,1.361668465522637e-05,1.854141009998773e-10,0.004171982028907397,0.004097722045861002,7.425998304639442e-05,0.005487449356486592
S9,0.004144490734934855,3.582782301531056e-05,1.283632902016417e-09,0.004218317663792446,0.004057199469353224,0.00016111819443922256,0.005496987867156121
S9,0.004141701486984736,3.701216128914094e-05,1.3699000832933834e-09,0.004256303729100246,0.004035711728905218,0.0002205920001950275,0.005489619554359956
S9,0.004142537119574253,1.3597611571713607e-05,1.8489504045519977e-10,0.00418202867454672,0.004098445102297183,8.358357224953674e-05,0.005491455578269123
S9,0.00414135565818014,1.562100288403166e-05,2.440157311029254e-10,0.0041898370275135184,0.004090204194807454,9.963283270606436e-05,0.005488342625046963
S9,0.004143194118035826,2.75721457385586e-05,7.602232206283152e-10,0.004239339920155937,0.00405253828800473,0.0001868016321512067,0.005493381671343134
S9,0.004141772618441733,1.4455026255348218e-05,2.0894778404280634e-10,0.004175441729140474,0.004101804837878798,7.363689126167576e-05,0.005489436598610473
S9,0.0041424275519106,8.597254734511162e-06,7.391278897007459e-11,0.004159178059020396,0.004118262302011803,4.091575700859284e-05,0.0054911295793974475
S9,0.004142182445460554,3.0745463943094694e-05,9.45283553076136e-10,0.004230686661612375,0.0040822211344540985,0.00014846552715827663,0.005490758622411088
S9,0.004142287618728001,3.079305604052588e-05,9.482123003149673e-10,0.004259640308198879,0.004011523255276247,0.0002481170529226324,0.005491038377141634
S9,0.00414235860217155,1.2090700326668137e-05,1.46185034389293e-10,0.004173485272748549,0.00409897618016338,7.450909258516908e-05,0.00549096991168609
S9,0.004142326307727506,1.5187986346723568e-05,2.306749292682615e-10,0.004178590514817176,0.004097588889821608,8.100162499556814e-05,0.005490911332678611
S9,0.004141468819549346,2.279469187322329e-05,5.195979775951918e-10,0.004196283002333786,0.004084819580376107,0.00011146342195767888,0.005488730746008655
S9,0.00414242433568635,1.86267050738398e-05,3.4695414190780933e-10,0.004178219519732037,0.004091988302180222,8.623121755181509e-05,0.00549120842592909
